"","n","alpha","Mean_A1","Bias_A1","MSE_A1","SE_A1","LED_A1","RED_A1","WED_A1","CPED_A1","LHD_A1","RHD_A1","WHD_A1","CPHD_A1","lambda","Mean_L1","Bias_L1","MSE_L1","SE_L1","LED_L1","RED_L1","WED_L1","CPED_L1","LHD_L1","RHD_L1","WHD_L1","CPHD_L1"
"1",20,0.5,0.512298536337607,0.0286926191635105,0.000823266394462251,0.0714210210231794,0.381598940285309,0.661614670085643,0.280015729800334,1,0.376039876418888,0.653240209192154,0.277200332773267,1,0.2,0.206588274313297,0.0376666923479827,0.00141877971243758,0.0501678219103473,0.11869370020531,0.315694726264486,0.197001026059176,0.02,0.112566799503431,0.3058935970162,0.19332679751277,0.02
"2",50,0.5,0.512456295220696,0.0520620192902587,0.00271045385257927,0.0527146853459712,0.413686332921618,0.62003046389636,0.206344130974742,1,0.41193065481891,0.616216220370062,0.204285565551152,0.99,0.2,0.206280482634806,0.03233566106302,0.00104559497638251,0.0338076360428147,0.145395378801424,0.278213084930032,0.132817706128608,0,0.142468417753325,0.273494820610235,0.13102640285691,0
"3",20,1.5,1.49636355913659,0.0104713622928085,0.000109649428267253,0.0939714062316129,1.31811834906713,1.68598999878976,0.367871649722628,1,1.31561409601514,1.6815998998389,0.365985803823755,1,3,3.00194018055401,0.0203045847101229,0.000412276160250555,0.0940897738746869,2.81989529758837,3.18849280416982,0.36859750658145,0,2.81920798224948,3.18596737331902,0.366759391069536,0
"4",50,1.5,1.50489538227278,0.000469702955902429,2.20620866783479e-07,0.0874135594124405,1.33799644083024,1.68089209851733,0.342895657687087,1,1.33549254800752,1.67638165865838,0.340889110650859,1,3,3.00329978301677,0.0153877801746054,0.000236783778701979,0.0868236273059598,2.83408672703829,3.17434677233441,0.340260045296128,0,2.83414737303553,3.17266907989268,0.338521706857154,0
